,COP NEEP 50,,,,,,,,,,,
562,2.864799999,,,,,,,,,,,
563,2.864799999,,,,,,,,,,,
564,2.915199999,,,,,,,,,,,
565,2.915199999,,,,,,,,,,,
566,2.957199999,,,,,,,,,,,
567,2.915199999,,,,,,,,,,,
568,2.915199999,,,,,,,,,,,
569,2.864799999,,,,,,,,,,,
570,2.822799999,,,,,,,,,,,
571,2.822799999,,,,,,,,,,,
572,2.822799999,,,,,,,,,,,
573,2.822799999,,,,,,,,,,,
574,2.822799999,,,,,,,,,,,
575,2.772399999,,,,,,,,,,,
576,2.772399999,,,,,,,,,,,
577,2.772399999,,,,,,,,,,,
578,2.772399999,,,,,,,,,,,
579,2.822799999,,,,,,,,,,,
580,2.822799999,,,,,,,,,,,
581,2.822799999,,,,,,,,,,,
582,2.864799999,,,,,,,,,,,
583,2.864799999,,,,,,,,,,,
584,2.915199999,,,,,,,,,,,
585,3.0076,,,,,,,,,,,
586,3.1,,,,,,,,,,,
587,3.1,,,,,,,,,,,
588,3.1,,,,,,,,,,,
589,3.1504,,,,,,,,,,,
590,3.1924,,,,,,,,,,,
591,3.1924,,,,,,,,,,,
592,3.1504,,,,,,,,,,,
593,3.1,,,,,,,,,,,
594,3.1,,,,,,,,,,,
595,3.0496,,,,,,,,,,,
596,3.0076,,,,,,,,,,,
597,3.0076,,,,,,,,,,,
598,2.957199999,,,,,,,,,,,
599,2.957199999,,,,,,,,,,,
600,2.957199999,,,,,,,,,,,
601,3.0076,,,,,,,,,,,
602,3.0076,,,,,,,,,,,
603,2.957199999,,,,,,,,,,,
604,3.0076,,,,,,,,,,,
605,2.957199999,,,,,,,,,,,
606,2.915199999,,,,,,,,,,,
607,3.0076,,,,,,,,,,,
608,3.1,,,,,,,,,,,
609,3.335200001,,,,,,,,,,,
610,3.662800002,,,,,,,,,,,
611,3.797200003,,,,,,,,,,,
612,3.940000003,,,,,,,,,,,
613,3.940000003,,,,,,,,,,,
614,3.889600003,,,,,,,,,,,
615,3.990400004,,,,,,,,,,,
616,3.889600003,,,,,,,,,,,
617,3.704800002,,,,,,,,,,,
618,3.704800002,,,,,,,,,,,
619,3.612400002,,,,,,,,,,,
620,3.662800002,,,,,,,,,,,
621,3.755200003,,,,,,,,,,,
622,3.847600003,,,,,,,,,,,
623,3.797200003,,,,,,,,,,,
624,3.847600003,,,,,,,,,,,
625,3.797200003,,,,,,,,,,,
626,3.889600003,,,,,,,,,,,
627,3.797200003,,,,,,,,,,,
628,3.797200003,,,,,,,,,,,
629,3.847600003,,,,,,,,,,,
630,3.797200003,,,,,,,,,,,
631,3.755200003,,,,,,,,,,,
632,3.797200003,,,,,,,,,,,
633,3.797200003,,,,,,,,,,,
634,3.797200003,,,,,,,,,,,
635,3.755200003,,,,,,,,,,,
636,3.797200003,,,,,,,,,,,
637,3.797200003,,,,,,,,,,,
638,3.889600003,,,,,,,,,,,
639,3.940000003,,,,,,,,,,,
640,3.940000003,,,,,,,,,,,
641,3.755200003,,,,,,,,,,,
642,3.612400002,,,,,,,,,,,
643,3.427600001,,,,,,,,,,,
644,3.520000002,,,,,,,,,,,
645,3.1924,,,,,,,,,,,
646,3.0496,,,,,,,,,,,
647,3.1,,,,,,,,,,,
648,3.1,,,,,,,,,,,
649,3.1924,,,,,,,,,,,
650,3.1,,,,,,,,,,,
651,3.1504,,,,,,,,,,,
652,3.1504,,,,,,,,,,,
653,2.957199999,,,,,,,,,,,
654,2.915199999,,,,,,,,,,,
655,2.957199999,,,,,,,,,,,
656,3.0496,,,,,,,,,,,
657,3.284800001,,,,,,,,,,,
658,3.520000002,,,,,,,,,,,
659,3.662800002,,,,,,,,,,,
660,3.704800002,,,,,,,,,,,
661,3.755200003,,,,,,,,,,,
662,3.755200003,,,,,,,,,,,
663,3.704800002,,,,,,,,,,,
664,3.612400002,,,,,,,,,,,
665,3.469600001,,,,,,,,,,,
666,3.377200001,,,,,,,,,,,
667,3.1504,,,,,,,,,,,
668,3.0496,,,,,,,,,,,
669,3.0496,,,,,,,,,,,
670,3.0496,,,,,,,,,,,
671,3.0496,,,,,,,,,,,
672,3.0496,,,,,,,,,,,
673,3.0496,,,,,,,,,,,
674,3.0496,,,,,,,,,,,
675,3.0496,,,,,,,,,,,
676,3.0076,,,,,,,,,,,
677,2.957199999,,,,,,,,,,,
678,2.957199999,,,,,,,,,,,
679,2.915199999,,,,,,,,,,,
680,2.915199999,,,,,,,,,,,
681,2.915199999,,,,,,,,,,,
682,2.915199999,,,,,,,,,,,
683,2.915199999,,,,,,,,,,,
684,2.915199999,,,,,,,,,,,
685,2.864799999,,,,,,,,,,,
686,2.822799999,,,,,,,,,,,
687,2.730399999,,,,,,,,,,,
688,2.679999998,,,,,,,,,,,
689,2.629599998,,,,,,,,,,,
690,2.537199998,,,,,,,,,,,
691,2.537199998,,,,,,,,,,,
692,2.495199998,,,,,,,,,,,
693,2.495199998,,,,,,,,,,,
694,2.495199998,,,,,,,,,,,
695,2.444799997,,,,,,,,,,,
696,2.444799997,,,,,,,,,,,
697,2.402799997,,,,,,,,,,,
698,2.348799999,,,,,,,,,,,
699,2.291199999,,,,,,,,,,,
700,2.291199999,,,,,,,,,,,
701,2.319999999,,,,,,,,,,,
702,2.348799999,,,,,,,,,,,
703,2.372799999,,,,,,,,,,,
704,2.402799997,,,,,,,,,,,
705,2.444799997,,,,,,,,,,,
706,2.587599998,,,,,,,,,,,
707,2.587599998,,,,,,,,,,,
708,2.629599998,,,,,,,,,,,
709,2.629599998,,,,,,,,,,,
710,2.679999998,,,,,,,,,,,
711,2.679999998,,,,,,,,,,,
712,2.679999998,,,,,,,,,,,
713,2.537199998,,,,,,,,,,,
714,2.587599998,,,,,,,,,,,
715,2.537199998,,,,,,,,,,,
716,2.495199998,,,,,,,,,,,
717,2.537199998,,,,,,,,,,,
718,2.587599998,,,,,,,,,,,
719,2.629599998,,,,,,,,,,,
720,2.629599998,,,,,,,,,,,
721,2.730399999,,,,,,,,,,,
722,2.730399999,,,,,,,,,,,
723,2.730399999,,,,,,,,,,,
724,2.730399999,,,,,,,,,,,
725,2.822799999,,,,,,,,,,,
726,2.864799999,,,,,,,,,,,
727,2.864799999,,,,,,,,,,,
728,2.915199999,,,,,,,,,,,
729,2.957199999,,,,,,,,,,,
730,3.0496,,,,,,,,,,,
731,3.1924,,,,,,,,,,,
732,3.335200001,,,,,,,,,,,
733,3.427600001,,,,,,,,,,,
734,3.469600001,,,,,,,,,,,
735,3.520000002,,,,,,,,,,,
736,3.469600001,,,,,,,,,,,
737,3.427600001,,,,,,,,,,,
738,3.377200001,,,,,,,,,,,
739,3.335200001,,,,,,,,,,,
740,3.377200001,,,,,,,,,,,
741,3.335200001,,,,,,,,,,,
742,3.335200001,,,,,,,,,,,
743,3.284800001,,,,,,,,,,,
